link,title,location,description,company_name
https://wuzzuf.net/jobs/p/VssduzQBDTOi-Data-Scientist-Seoudi-Supermarket-Giza-Egypt?o=14&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Scientist,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Data Science · Programming · Python · Algorithms · SQL,Seoudi Supermarket -
https://wuzzuf.net/jobs/p/qWvxu12Phvwr-Senior-data-engineering-Ejada-Cairo-Egypt?o=15&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior data engineering,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Automation · Computer Science,Ejada  -
https://wuzzuf.net/jobs/p/F2KQo3eVWbYv-Data-Analyst-Othaim-Cairo-Egypt?o=16&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"Katameya, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Computer Science · Information Technology (IT) · Data Analysis · Analyst,Othaim -
https://wuzzuf.net/jobs/p/KX2REo7xWqbZ-Data-Analyst-Ejada-Riyadh-Saudi-Arabia?o=17&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Analyst,"Riyadh, Saudi Arabia ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Data Analysis · Data Analyst · Data · SQL · Statistics · Information Technology (IT),Ejada  -
https://wuzzuf.net/jobs/p/bhCcjMs15oYG-Data-Modeler-Ejada-Riyadh-Saudi-Arabia?o=18&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Modeler,"Riyadh, Saudi Arabia ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Data Modeling · SQL Server · Microsoft SQL Server · Modeling · SQL · Information Technology (IT),Ejada  -
https://wuzzuf.net/jobs/p/n8hfUO9mMIkL-Big-Data-Analyst-BBI-Consultancy-Cairo-Egypt?o=19&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Big Data Analyst,"Cairo, Egypt ",Full TimeExperienced · 4 - 5 Yrs of Exp · Customer Service/Support · Analyst/Research · Big Data · Analysis · Data · Data Analysis · Linux · Python · SQL · Support,BBI-Consultancy -
https://wuzzuf.net/jobs/p/tFOREdPDATy4-Data-Entry-Specialist-Micro-Engineering-Cairo-Egypt?o=20&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Data Entry Specialist,"Heliopolis, Cairo, Egypt ",Full TimeShift BasedEntry Level · Administration · R&D/Science · Customer Service/Support · Microsoft Office · quality · reports · Skills · computer · Data Entry · students,Micro Engineering -
https://wuzzuf.net/jobs/p/DZjts4Sd6UkF-Senior-Risk-Analyst-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=21&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Risk Analyst,"Cairo, Egypt ",Work From HomeExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · Analyst · Business Analysis · Computer Science · Information Technology (IT) · Data · English,Target Recruitment  & HR Solutions  -
https://wuzzuf.net/jobs/p/xLMhNExCvdZm-Senior-Sales-Account-Manager-IT-Infrastructure2-Cairo-Egypt?o=22&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Sales Account Manager (IT Infrastructure)#2,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 7 - 11 Yrs of Exp · IT/Software Development · Sales/Retail · Engineering - Telecom/Technology · Data Centers · Servers · IT Sales · Sales Skills · IT Infrastructure Sales · Sales Target · Computer Science,Confidential -
https://wuzzuf.net/jobs/p/ZTtGBLiqzHFT-Oracle-Application-Database-Administrator-FORTE-CLOUD-Cairo-Egypt?o=23&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Oracle Application Database Administrator,"Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Information Technology (IT) · Computer Science · Data Guard · RMAN · DBA · Linux Administration,FORTE CLOUD -
