link,title,location,description,company_name
https://wuzzuf.net/jobs/p/kIu2CPRi1KEY-Analytical-Manager-INBOX-QATAR-Giza-Egypt?o=121&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Analytical Manager,"Giza, Egypt ",Full TimeManager · 5 - 10 Yrs of Exp · Business Development · IT/Software Development · computer · Computer Science · Databases,INBOX QATAR -
https://wuzzuf.net/jobs/p/tiR9n4AVrLxV-Front-End-Developer-Vuejs-Mana9at-Cairo-Egypt?o=122&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Front End Developer (Vue.js),"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · vue · js · frontend · Computer Science · Software,Mana9at -
https://wuzzuf.net/jobs/p/QzCqaD1ly3SY-Technical-writer-RMG-Riyadh-Saudi-Arabia?o=123&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Technical writer,"Riyadh, Saudi Arabia ",Full TimeVolunteeringExperienced · 3 - 6 Yrs of Exp · Writing/Editorial · IT/Software Development · Engineering - Telecom/Technology · Editing · Documentation · Technical Writing · Writing · technical · Computer Science · Information Technology (IT),RMG -
https://wuzzuf.net/jobs/p/deUomWz6hqCP-System-Administrator-Lumin-Giza-Egypt?o=124&l=sp&t=sj&a=data science|search-v3|hpb|spbg,System Administrator,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · Computer Science · Information Technology (IT) · Engineering · System Administration · Troubleshooting · Vmware,Lumin -
https://wuzzuf.net/jobs/p/1izUmoJ4YZNF-IT-Specialist-Dakahlia-Egypt?o=125&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Specialist,"Talkha, Dakahlia, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · AWS · Azure · Microsoft · OR · Customer Service,Confidential -
https://wuzzuf.net/jobs/p/VohoGQeLpuo3-ASPNET-Developer-Al-Mashreq-Alexandria-Egypt?o=126&l=sp&t=sj&a=data science|search-v3|hpb|spbg,ASP.NET Developer,"Smouha, Alexandria, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · ASP.Net · ASP · .Net · HTML · Computer Science · Information Technology (IT) · MVC · Java · Software Development,Al Mashreq -
https://wuzzuf.net/jobs/p/IWwBp7hd27c4-Business-Intelligence-Developer-Egabi-FSI-Cairo-Egypt?o=127&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Business Intelligence Developer,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · Banking · IT/Software Development · Computer Science · ETL · Reporting · OFSAA · Oracle Data Integrator (ODI) · Business Intelligence · computer · Banking Sector,Egabi FSI -
https://wuzzuf.net/jobs/p/2Fb6oLHI29IR-Actuarial-Analyst-Misr-Insurance-Co-Giza-Egypt?o=128&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Actuarial Analyst,"Giza, Egypt ",Full TimeExperienced · 0 - 5 Yrs of Exp · Analyst/Research · Actuarial · actuarial science · Analyst · Insurance,Misr Insurance Co -
https://wuzzuf.net/jobs/p/WvoquW2GqCZ8-IT-Technical-Support-Work-Will-Be-Allocated-In-Africa-23002-Cairo-Egypt?o=129&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Technical Support (Work Will Be Allocated In Africa) 23002,"Cairo, Egypt ",Full TimeExperienced · 5 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Hardware · Installation · Networks · Hardware · LAN · WAN,Confidential -
https://wuzzuf.net/jobs/p/nroemS6TUgrG-system-administrator-Section-Head-Rashideen-Egypt-for-Trade-Cairo-Egypt?o=130&l=sp&t=sj&a=data science|search-v3|hpb|spbg,system administrator Section Head,"Katameya, Cairo, Egypt ",Full TimeManager · 5 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · SCCM · Microsoft SCCM · Linux · Microsoft Exchange · CCNA · MCSE · PRINCE2 · ITIL,Rashideen Egypt for Trade  -
https://wuzzuf.net/jobs/p/m3dY1XTNFO8K-Senior-System-Administrator-Kandil-Industries-Cairo-Egypt?o=131&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior System Administrator,"10th of Ramadan City, Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Linux · Information Technology (IT) · Computer Science · Computer Engineering · computer · CCNA · Engineering,Kandil Industries -
https://wuzzuf.net/jobs/p/mSLgQRBxOZrZ-IT-Administrator-Sinoma-cdi-Cairo-Egypt?o=132&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Administrator,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Administrator · Computer Science,Sinoma-cdi -
https://wuzzuf.net/jobs/p/to121u9k6b4l-Oracle-Developer-Akhnaton-for-Trading-Distributing-Cairo-Egypt?o=133&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Oracle Developer,"Cairo, Egypt ",Freelance / ProjectExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · developer · Computer Science · Software Development,Akhnaton for Trading & Distributing  -
https://wuzzuf.net/jobs/p/uk0OJ6mwEhOF-System-Administrator-TEPCO-S-A-E-Giza-Egypt?o=134&l=sp&t=sj&a=data science|search-v3|hpb|spbg,System Administrator,"6th of October, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Administration · Azure · Cloud · Computer Science · Database · Engineering · Information Systems,TEPCO S.A.E. -
https://wuzzuf.net/jobs/p/PK3sRcK6NZBR-ERP-Implementer-Ultimate-Solutions-Egypt-Giza-Egypt?o=135&l=sp&t=sj&a=data science|search-v3|hpb|spbg,ERP Implementer,"6th of October, Giza, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · ERP · Information Technology (IT) · Implementation · Communication · English · Computer Science,Ultimate Solutions Egypt -
https://wuzzuf.net/jobs/p/Ozo4teRvBftd-Head-OF-IT-British-International-School-Cairo-Giza-Egypt?o=136&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Head OF IT,"Sheikh Zayed, Giza, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · Leadership · Operations · Software · Computer Science · Engineering,"British International School, Cairo -"
https://wuzzuf.net/jobs/p/3EcGTLcS9bKh-Backend-Developer-Laravel-Bright-Creations-Giza-Egypt?o=137&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Backend Developer (Laravel),"Smart Village, Giza, Egypt ",Full TimeEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · APIs · Laravel · PHP · Back-End Development · Full Stack Development · Computer Science · Information Technology (IT),Bright Creations -
https://wuzzuf.net/jobs/p/uCvvjBx6uOZ4-Software-Validation-Engineer---Belgium-AGAD-Technology-Cairo-Egypt?o=138&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Software Validation Engineer - (Belgium),"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Quality · Engineering - Other · Agile · Computer Science · Development · Engineering · English · Git · Information Technology (IT),AGAD Technology -
https://wuzzuf.net/jobs/p/Oz7e0tYhXV2y-Quality-Control-Unit-Head-INDEVCO-Monufya-Egypt?o=139&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Quality Control Unit Head,"Alsadat City, Monufya, Egypt ",Full TimeExperienced · 6 - 10 Yrs of Exp · Manufacturing/Production · Quality · Manufacturing · FMCG · Microsoft Office · QC · quality · Quality Control · Quality Assurance · English,INDEVCO -
https://wuzzuf.net/jobs/p/oL3151HEY20O-Software-QC-Manager-FlairsTech-Cairo-Egypt?o=140&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Software QC Manager,"Maadi, Cairo, Egypt ",Full TimeManager · 5 - 7 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · Communication · Communication skills · Computer Science · HTML · Information Technology (IT) · JavaScript,FlairsTech -
https://wuzzuf.net/jobs/p/GG2ifluDHUB5-Junior-Application-Consultant-ERP-Rednet-It-Services-Cairo-Egypt?o=141&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Junior Application Consultant ERP,"Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · ERP · Accounting · Microsoft SQL Server · Project Management · Technical Support · Problem Solving,Rednet It Services -
https://wuzzuf.net/jobs/p/2Lr80KQcMptO-Mobile-Development-Team-Lead-IOS-Android-Cairo-Egypt?o=142&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Mobile Development Team Lead (IOS & Android),"Maadi, Cairo, Egypt ",Full TimeManager · 11+ Yrs of Exp · IT/Software Development · Android · Computer Science · Git · Information Technology (IT) · iOS · Mobile Development · Software · Software Development · Software Engineering,Confidential -
https://wuzzuf.net/jobs/p/CYSFCNflFCO9-Senior-Java-Developer-SSC-Egypt-Cairo-Egypt?o=143&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Java Developer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Java · OOP · Programming · Software · Software Development · Software Engineering · Computer Engineering · Computer Science · Engineering,SSC Egypt -
https://wuzzuf.net/jobs/p/9Xuyo6lMqYlF-IT-Specialist---Alexandria-Alexandria-Egypt?o=144&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Specialist - Alexandria,"Mahta Alraml, Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Install · CCNA · CCNA Voice · SQL Server · Troubleshoot · Maintenance · Information Technology (IT),Confidential -
https://wuzzuf.net/jobs/p/sYLV2NGVZeva-Senior-Full-Stack-Net-Developer-aliaict-Cairo-Egypt?o=145&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Full Stack .Net Developer,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C# · ASP.NET · API · ASP.NET Core · Entity Framework · JQuery · Design Patterns · SOLID,aliaict -
https://wuzzuf.net/jobs/p/IOcnpfNFgXnV-Experienced-React-Native-Developer-Yespays-Cairo-Egypt?o=146&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Experienced React Native Developer,"New Cairo, Cairo, Egypt ",Full TimePart TimeExperienced · 2 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Android app · Android · Software Development · Information Technology (IT) · Engineering,Yespays -
https://wuzzuf.net/jobs/p/2dnfvqJB8Afg-Senior-Odoo-Consultant-Superior-Business-Solutions-Cairo-Egypt?o=147&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Odoo Consultant,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Odoo · Consulting · Computer Science · ERP · English · Communication,Superior Business Solutions -
https://wuzzuf.net/jobs/p/3BMwGY5PKXLT-Senior-Big-Data-ETL-Engineer-KSA-Ejada-Riyadh-Saudi-Arabia?o=148&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Big Data ETL Engineer (KSA),"Riyadh, Saudi Arabia ",Full TimeExperienced · 4 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Business Intelligence · Computer Engineering · Data Warehousing,Ejada  -
https://wuzzuf.net/jobs/p/pCO2yefU8465-Cloud-DevOps-Engineer-ServerHub-Cairo-Egypt?o=149&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Cloud DevOps Engineer,"Cairo, Egypt ",Full TimeExperienced · 1 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Docker · Ansible · Nginx · DevOps · Gitlab · Python · Linux · Information Technology (IT),ServerHub -
https://wuzzuf.net/jobs/p/4JhHP1C1BWY8-Senior-C-Developer-FlairsTech-Cairo-Egypt?o=150&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior C Developer,"Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Analysis · Communication · C · Computer Science · Design · Development · Algorithms,FlairsTech -
https://wuzzuf.net/jobs/p/3952kRJjBERr-Software-Project-Manager-Cairo-Egypt?o=151&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Software Project Manager,"Sheraton, Cairo, Egypt ",Full TimeManager · 4 - 6 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Project Management · Project Manager · PMP,Confidential -
https://wuzzuf.net/jobs/p/hSLHSkdT2spt-Senior-Full-Stack-Developer-3S-Software-Cairo-Egypt?o=152&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Full Stack Developer,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · MySQL · Angular · Computer Science · CSS · .Net · HTML · HTML5,3S Software -
https://wuzzuf.net/jobs/p/sxTzWxiTnIeb-Security-Administrator-Sinai-Sons-Company-Cairo-Egypt?o=153&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Security Administrator,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CCNA · CCNP · Computer Science · Network Security · Information Technology (IT) · Security,Sinai Sons Company -
https://wuzzuf.net/jobs/p/crqHoFujrrWx-Operations-Installation-Engineer---Furniture-Industry-Giza-Egypt?o=154&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Operations / Installation Engineer - Furniture Industry,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · Installation · Electrical · Engineering · Computer Science · furniture,Confidential -
https://wuzzuf.net/jobs/p/zYx7Ufz7FkA8-System-Analyst-software-house-Company-Houya-Arrow-Cairo-Egypt?o=155&l=sp&t=sj&a=data science|search-v3|hpb|spbg,System Analyst ( software house Company ),"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Scrum · quality · System Analysis · Business Analysis · Computer Science · Software,Houya Arrow -
https://wuzzuf.net/jobs/p/AO0dx6Nca0Cw-Senior-Database-Administrator-Al-Ahly-Momkn-for-e-payment-Cairo-Egypt?o=156&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Database Administrator,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Oracle · Information Technology (IT) · ORACLE 12C · SQL Server · OCP · SQL · OCA,Al Ahly Momkn for e-payment -
https://wuzzuf.net/jobs/p/CwaWvguHhnCj-Software-Developer-Misr-Elkheir-Foundation-Cairo-Egypt?o=157&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Software Developer,"Mokattam, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · PHP · HTML · Software Engineering · Software Development · jQuery · HTML5 · CSS3 · Information Technology (IT),Misr Elkheir Foundation -
https://wuzzuf.net/jobs/p/MnT69j7HPSql-System-Admin-Specialist-SR-Sky-Distribution-Giza-Egypt?o=158&l=sp&t=sj&a=data science|search-v3|hpb|spbg,System Admin Specialist /SR,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Active Directory · Security,Sky Distribution -
https://wuzzuf.net/jobs/p/jrCxq5qNaH57-Senior-Front-End-Engineer-WUZZUF-Cairo-Egypt?o=159&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Front End Engineer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · HTML · Information Technology (IT) · JavaScript · React · Software · Software Development,WUZZUF -
https://wuzzuf.net/jobs/p/OQFO1wC8B3ar-HSE-Manager-Harvest-Foods-Alexandria-Egypt?o=160&l=sp&t=sj&a=data science|search-v3|hpb|spbg,HSE Manager,"Bourj Alarab, Alexandria, Egypt ",Full TimeManager · 10+ Yrs of Exp · R&D/Science · Quality · Engineering - Other · NEBOSH · QA · QC · Quality · Quality Control · Quality Assurance · Engineering,Harvest Foods -
https://wuzzuf.net/jobs/p/IJqaEjmvQXTL-PHP-Full-Stack-Developer-Laravel-Vue-Thaka-International-Cairo-Egypt?o=161&l=sp&t=sj&a=data science|search-v3|hpb|spbg,PHP Full Stack Developer (Laravel / Vue),"Badr City, Cairo, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Laravel · PHP · MySQL · JavaScript · HTML5 · CSS3 · Git,Thaka International -
https://wuzzuf.net/jobs/p/IYfyI21iAx8z-Medical-Device-Sales-Representative-Upper-Egypt---Lab-Device-Assiut-Egypt?o=162&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Medical Device Sales Representative (Upper Egypt) - Lab Device,"Assuit, Assiut, Egypt ",Full TimeExperienced · 2 - 6 Yrs of Exp · Medical/Healthcare · Sales/Retail · Medical Sales · Medical · Sales · Veterinary · Agriculture · Communication · MEDICINE · Microsoft Office,Confidential -
https://wuzzuf.net/jobs/p/pUukKyxyfNs6-HSE-Manager-Monufya-Egypt?o=163&l=sp&t=sj&a=data science|search-v3|hpb|spbg,HSE Manager,"Alsadat City, Monufya, Egypt ",Full TimeManager · 15 - 20 Yrs of Exp · males_only · R&D/Science · Quality · Engineering - Other · HSE · Health And Safety · Engineering · Quality · Health & Safety · Safety · Management,Confidential -
https://wuzzuf.net/jobs/p/5R3veMaiKuOH-IT-Network-Engineer-LIVING-IN-INTERIORS---EGYPT-Cairo-Egypt?o=164&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Network Engineer,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Networks · Software Engineering · Computer · CCNA · Information Technology (IT) · Database · Internet · WIMAX,LIVING IN INTERIORS - EGYPT -
https://wuzzuf.net/jobs/p/kGniIUPvJdTx-Computer-Applications-Support-Specialist-Sigma-Engineering-Cairo-Egypt?o=165&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Computer Applications Support Specialist,"Obour City, Cairo, Egypt ",Full TimeExperienced · 8 - 10 Yrs of Exp · Customer Service/Support · IT/Software Development · computer · Computer Science · Customer Support · ERP · Information Technology (IT) · Database · Applications · Supply Chain,Sigma Engineering -
https://wuzzuf.net/jobs/p/zCltGt7TKNZG-Software-Tester-Quality-Control-Engineer-Mansoura-qTech-AlQemam-Dakahlia-Egypt?o=166&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Software Tester / Quality Control Engineer (Mansoura),"Mansoura, Dakahlia, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Quality Assurance · Quality Control · Engineering · Quality · SQL · Zephyr · Testing,qTech.  -
https://wuzzuf.net/jobs/p/k1R9bl7KyhEQ-Senior-Software-Tester-Expert-Apps-Cairo-Egypt?o=167&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Software Tester,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Automation · computer · Computer Science · Information Technology (IT) · Integration · JMeter · Performance,Expert Apps -
https://wuzzuf.net/jobs/p/JOgK6FI2yApM-Senior-iOS-Developer-Cairo-Egypt?o=168&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior iOS Developer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Computer Science · Apple · APIs · Software Development · Cloud · Software Engineering · computer · Design · Development,Confidential -
https://wuzzuf.net/jobs/p/oQK9MLuBcVKA-System-Admin-Dough-and-More-Food-Industries-Giza-Egypt?o=169&l=sp&t=sj&a=data science|search-v3|hpb|spbg,System Admin,"6th of October, Giza, Egypt ",Full TimeExperienced · 1 - 4 Yrs of Exp · IT/Software Development · Administrator · Computer Science · System Administration,Dough and More Food Industries -
https://wuzzuf.net/jobs/p/BefJoVzUvvfo-Production-Section-Head-Packaging-Rameda-Giza-Egypt?o=170&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Production Section Head / Packaging,"6th of October, Giza, Egypt ",Full TimeManager · 8 - 10 Yrs of Exp · Manufacturing/Production · Quality · Pharmaceutical · Manufacturing · Production · Solid Section Head · Science · Quality · Pharmacy · Pharmaceutical,Rameda -
https://wuzzuf.net/jobs/p/BenFKqQ9YdnP-Energy-Component-Developer-ICS-Technologies-Basrah-Iraq?o=171&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Energy Component Developer,"Basrah, Iraq ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Oil & Gas/Energy · Application Engineering · Analysis · Computer Science · Energy · gas · Oil · IT,ICS Technologies -
https://wuzzuf.net/jobs/p/t5nxLB2WaIl1-Project-Owner---IT-9H-Capital-Cairo-Egypt?o=172&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Project Owner - IT,"Cairo, Egypt ",Full TimeWork From HomeEntry Level · 0 - 4 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Project/Program Management · Agile · Marketing · Communication · IT Service Management · Information Technology (IT) · Project Management · Management,9H Capital  -
https://wuzzuf.net/jobs/p/3A1V0ymVHfh9-IT-Assistant-Help-desk-May-University-in-Cairo-Cairo-Egypt?o=173&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Assistant Help desk,"Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Computer Science · IT,May University in Cairo -
https://wuzzuf.net/jobs/p/4hQcAQlFLzPd-Regulatory-Affairs-Specialist---English-Speaker-8-Months-Contract-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=174&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Regulatory Affairs Specialist - English Speaker (8 Months Contract),"New Cairo, Cairo, Egypt ",Freelance / ProjectExperienced · 1 - 2 Yrs of Exp · Pharmaceutical · Pharmaceutical · Medical Devices · regulatory · Regulatory Affairs · Pharmacy · Science · Communication · Communication skills · English,Target Recruitment  & HR Solutions  -
https://wuzzuf.net/jobs/p/BLuX1SUkspPR-Cosmetics-R-and-D-Specialist-SESH-Giza-Egypt?o=175&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Cosmetics R and D Specialist,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · R&D/Science · Cosmetics · Pharmaceutical · R&amp;D · Research · Science,SESH -
https://wuzzuf.net/jobs/p/uRd5WJejRzsG-Senior-Java-Developer-FlairsTech-Cairo-Egypt?o=176&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Java Developer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 9 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Development · DevOps · Information Technology (IT) · J2EE · Java · Software,FlairsTech -
https://wuzzuf.net/jobs/p/eeArGoUo6w1H-Senior-NET-Developer-Cairo-Egypt?o=177&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior NET Developer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Information Technology (IT) · Computer Science · Software Engineering · Software Development · OOP · Git · Design · APIs · Angular,Confidential -
https://wuzzuf.net/jobs/p/5JAheL3M7fWo-IT-Specialist-Mahgoub-Group-Cairo-Egypt?o=178&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Specialist,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Engineering · Software · Computer Science · Computer Systems · Technical Support · Maintenance,Mahgoub Group -
https://wuzzuf.net/jobs/p/4tidc7kNAC0j-Oracle-Senior-Application-Development-Specialist-Network-International--Egypt-Cairo-Egypt?o=179&l=sp&t=sj&a=data science|search-v3|hpb|spbg,(Oracle) Senior Application Development Specialist,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · SQL · Oracle PL/SQL · JIRA · Agile · Software Development · Data Integration · Scrum · Kanban,Network International -Egypt -
https://wuzzuf.net/jobs/p/IEpv6V9dtMPJ-IT-Specialist-My-Mall-Alexandria-Egypt?o=180&l=sp&t=sj&a=data science|search-v3|hpb|spbg,IT Specialist,"Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · CISSP · Communication · computer · Computer Science · Information Technology (IT) · Installation · MCSE,My Mall -
https://wuzzuf.net/jobs/p/DjdcPYRCCB6j-Senior-Java-Developer-Wonder-Travel-Cairo-Egypt?o=181&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior Java Developer,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Information Technology (IT) · OOP · Java · Software Engineering · Spring · Hibernate,Wonder Travel -
https://wuzzuf.net/jobs/p/eyvvLoNva4A9-senior-Odoo-Developer-Cairo-Egypt?o=182&l=sp&t=sj&a=data science|search-v3|hpb|spbg,senior Odoo Developer,"Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · males_only · Accounting/Finance · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ERP · Engineering · Software Development · Odoo · Programming,Confidential -
https://wuzzuf.net/jobs/p/DYHGA3pCgxPY-End-User-Computing-Systems-Manager-Cairo-Egypt?o=183&l=sp&t=sj&a=data science|search-v3|hpb|spbg,End User Computing Systems Manager,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Engineering - Telecom/Technology · Computer Engineering · Computer Science,Confidential -
https://wuzzuf.net/jobs/p/84n8dWlJkDAb-Linux-System-Administrator-Fixed-Solutions-Cairo-Egypt?o=184&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Linux System Administrator,"Sheraton, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Administration · CCNA · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Linux · Network Administration,Fixed Solutions -
https://wuzzuf.net/jobs/p/hS2T5gs9cA6j-Senior-BI-Developer-Ejada-Cairo-Egypt?o=185&l=sp&t=sj&a=data science|search-v3|hpb|spbg,Senior BI Developer,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Computer Science · Power BI · Microsoft SQL Server,Ejada  -
